Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,0385689225,9780385689229,5,4.46,Doubleday Canada,Hardcover,289,2016,2016,19/07/20,15/07/20,,,read,"<blockquote><br/>After an hour or so of waiting, she opened her unbandaged eye. The second she did, I lost it. I started bawling. She asked for some water and I gave her a cup, and she leaned forward a bit to sip through the straw. I kept bawling and bawling and bawling. I couldn’t control myself.<br/><br/> “Shh,” she said. “Don’t cry, baby. Shhhhh. Don’t cry.”<br/><br/>“How can I not cry, Mom? You almost died.”<br/><br/>“No, I wasn’t going to die. I wasn’t going to die. It’s okay. I wasn’t going to die.”<br/><br/>“But I thought you were dead.” I kept bawling and bawling. “I thought I’d lost you.”<br/><br/>“No, baby. Baby, don’t cry. Trevor. Trevor, listen. Listen to me. Listen.”<br/><br/>“What?” I said, tears streaming down my face.<br/><br/>“My child, you must look on the bright side.”<br/><br/>“What? What are you talking about, ‘the bright side’? Mom, you were shot in the face. There is no bright side.”<br/><br/>“Of course there is. Now you’re officially the best-looking person in the family.”<br/><br/>She broke out in a huge smile and started laughing. Through my tears, I started laughing, too. I was bawling my eyes out and laughing hysterically at the same time. We sat there and she squeezed my hand and we cracked each other up the way we always did, mother and son, laughing together through the pain in an intensive-care recovery room on a bright and sunny and beautiful day.<br/></blockquote><br/><br/>Now you ask me what do I think about this book? I don't know if I should smile, hope, or cry? The first chapter of this book made me laugh my ass-off. The last chapter of this book made me cry my heart-out. <br/><br/>The chapters in between taught me about the value of shit, about what it was to live in apartheid South Africa - institutionalized racism, about the tough love of a mother for her child, about why I should never buy a second-hand car, about how crime can sometimes be way a of life, about the role of language in touching hearts, about domestic violence, about so many other things I am fumbling right now to put together. <br/><br/>For reasons unknown to me, I found myself reading biographies and memories this year, and without a doubt <b>Born a Crime: Stories From a South African Childhood</b> was the best read so far.",,,1,,,0,,,,,
18288210,No Matter the Wreckage,Sarah Kay,"Kay, Sarah",Sophia Janowitz,1938912489,9781938912481,0,4.24,Write Bloody Publishing,Paperback,143,2014,2014,,19/07/20,to-read,to-read (#213),to-read,,,,0,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,0060929871,9780060929879,0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,16/07/20,to-read,to-read (#212),to-read,,,,0,,,0,,,,,
18624269,If on a winter's night a traveler,Italo Calvino,"Calvino, Italo",William Weaver,,,0,4.04,Mariner Books,Kindle Edition,278,2012,1979,,15/07/20,to-read,to-read (#211),to-read,,,,0,,,0,,,,,
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,1400079276,9781400079278,0,4.13,Vintage International,Paperback,467,2006,2002,,15/07/20,to-read,to-read (#210),to-read,,,,0,,,0,,,,,
34536960,Fowl Language: The Struggle Is Real,Brian  Gordon,"Gordon, Brian",,1449486754,9781449486754,0,4.16,Andrews McMeel Publishing,Paperback,128,2017,2017,,15/07/20,to-read,to-read (#209),to-read,,,,0,,,0,,,,,
24709327,Scion of Ikshvaku (Ram Chandra #1),Amish Tripathi,"Tripathi, Amish",,9385152149,9789385152146,3,3.83,Westland Publication,Paperback,354,2015,2015,07/07/20,04/07/20,,,read,"Not as good as the Immortals of Meluha (The Shiva Trilogy) but definitely a gripping and pacy read. The storyline is very predictable, but for people like me who love to reason with science, it's a good retelling of the same old legendary story of lord RAM.",,,1,,,0,,,,,
145565,The Essays of Warren Buffett: Lessons for Corporate America,Warren Buffett,"Buffett, Warren",,0966446119,9780966446111,0,4.36,Cardozo Law Review,Unknown Binding,246,2001,1998,,07/07/20,to-read,to-read (#208),to-read,,,,0,,,0,,,,,
28927,A Beautiful Mind: The Shooting Script,Akiva Goldsman,"Goldsman, Akiva",Ron Howard,1557045267,9781557045263,0,4.43,Newmarket Press,Paperback,160,2002,2002,,07/07/20,to-read,to-read (#207),to-read,,,,0,,,0,,,,,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,0465067107,9780465067107,0,4.15,Basic Books,Paperback,240,2002,1988,,01/07/20,to-read,to-read (#206),to-read,,,,0,,,0,,,,,
